url,price,address,bedrooms,bathrooms,living_area_sqft,latitude,longitude
https://www.zillow.com/homedetails/804-E-32nd-1-2-St-Austin-TX-78705/2071621913_zpid/,"$2,100/mo","804 E 32Nd 1 2 St, Austin, TX 78705",2,1.0,800,30.292515,-97.728254
https://www.zillow.com/b/210-e.-32nd-st-austin-tx-Chbrgz/,"$2,100/mo","210 E. 32Nd St Austin, Tx, CHBRGZ",2,3.0,0.0,30.29589,-97.734897
https://www.zillow.com/b/921-east-37th-street-austin-tx-5XtW3R/,"$2,100/mo","921 East 37Th Street, Austin, TX 78705",2,1.5,816,30.2945496,-97.7230817
https://www.zillow.com/homedetails/2714-Whitis-Ave-APT-B-Austin-TX-78705/2119046443_zpid/,"$2,095/mo","2714 Whitis Ave Apt B, Austin, TX 78705",2,1.0,851,30.2930915,-97.7404063
https://www.zillow.com/b/texan-shoal-creek-austin-tx-5XjfMS/,"$1,500/mo","Texan Shoal Creek Austin, Tx, 5XJFMS",1,1.0,650,30.2899928,-97.7497932
https://www.zillow.com/homedetails/3016-Guadalupe-St-APT-315-Austin-TX-78705/80100006_zpid/,"$2,094/mo","3016 Guadalupe St Apt 315, Austin, TX 78705",2,2.0,"1,053",30.2975602,-97.7417129
https://www.zillow.com/homedetails/905-W-22nd-1-2-St-APT-302-Austin-TX-78705/2096698218_zpid/,"$2,075/mo","905 W 22Nd 1 2 St Apt 302, Austin, TX 78705",2,2.0,"1,100",30.286206,-97.746494
https://www.zillow.com/b/gazebo-condominiums-austin-tx-5XwT3b/,$930/mo,"Gazebo Condominiums, Austin, TX 78705",1,1.0,475,30.304693,-97.721429
https://www.zillow.com/homedetails/2300-Leon-St-APT-302-Austin-TX-78705/29331800_zpid/,"$2,000/mo","2300 Leon St Apt 302, Austin, TX 78705",2,2.0,800,30.2873573,-97.749779
https://www.zillow.com/apartments/austin-tx/windtree-condominiums/5XjfKq/,"$1,825/mo","Windtree Condominiums, Austin, TX 78705",2,2.0,820,30.378691,-97.694832
https://www.zillow.com/homedetails/808-W-29th-St-APT-305-Austin-TX-78705/29398116_zpid/,"$2,000/mo","808 W 29Th St Apt 305, Austin, TX 78705",2,2.0,981,30.297296,-97.745919
https://www.zillow.com/homedetails/704-W-21st-St-APT-304-Austin-TX-78705/60137075_zpid/,"$2,000/mo","704 W 21St St Apt 304, Austin, TX 78705",2,2.0,950,30.2844495,-97.7458478
https://www.zillow.com/b/georgian-condominiums-austin-tx-65XfcR/,"$1,900/mo","Georgian Condominiums Austin, Tx, 65XFCR",2,2.0,800,30.188863,-97.897908
https://www.zillow.com/b/waterford-303-austin-tx-5XjfKr/,"$1,750/mo","Waterford 303 Austin, Tx, 5XJFKR",2,2.0,950,30.3767431,-97.7288615
https://www.zillow.com/b/2801-rio-grande-st-austin-tx-5XwT4S/,"$1,875/mo","2801 Rio Grande St, Austin, TX 78705",2,2.0,850,30.29372,-97.743715
https://www.zillow.com/homedetails/710-Landon-Ln-B-Austin-TX-78705/2094919900_zpid/,"$2,000/mo","710 Landon Ln B, Austin, TX 78705",2,1.0,"1,000",30.294262,-97.730039
https://www.zillow.com/b/the-jocey-building-2-austin-tx-BPCQsy/,"$1,050/mo","The Jocey Building 2 Austin, Tx, BPCQSY",1,1.0,450,30.284945,-97.70548
https://www.zillow.com/b/the-jocey-building-1-austin-tx-5Z62rG/,"$1,100/mo","The Jocey Building 1, Austin, TX 78705",1,1.0,450,30.284945,-97.70548
https://www.zillow.com/homedetails/3006-Duval-St-APT-1-Austin-TX-78705/2090108720_zpid/,$895/mo,"3006 Duval St Apt 1, Austin, TX 78705",1,1.0,300,30.292527,-97.7341207
https://www.zillow.com/homedetails/3006-Duval-St-APT-8-Austin-TX-78705/2078961191_zpid/,$925/mo,"3006 Duval St Apt 8, Austin, TX 78705",1,1.0,300,30.292527,-97.7341207
