url,price,address,bedrooms,bathrooms,living_area
https://www.zillow.com/b/315-w-35th-st-austin-tx-5XwTKd/,"$3,500+ 4 bds",,,,
https://www.zillow.com/homedetails/711-Harris-Ave-Austin-TX-78705/29397492_zpid/,"$3,500/mo",,4,2,"1,284"
https://www.zillow.com/apartments/austin-tx/30th-st-townhomes/63bV4g/,"$2,850+ 3 bds",,,,
https://www.zillow.com/homedetails/2708-San-Pedro-St-APT-202-Austin-TX-78705/119620813_zpid/,"$3,490/mo",,3,2,"1,670"
https://www.zillow.com/homedetails/914-Keith-Ln-Austin-TX-78705/29396072_zpid/,"$3,400/mo",,3,2,"1,559"
https://www.zillow.com/b/waterford-303-austin-tx-5XjfKr/,"$2,000+ 2 bds",,,,
https://www.zillow.com/b/610-w.-35th-st.-austin-tx-5XjfLP/,"$3,400/mo",,3,2,"1,200"
https://www.zillow.com/homedetails/609-W-35th-St-A-Austin-TX-78705/2098401176_zpid/,"$3,400/mo",,3,2,"1,600"
https://www.zillow.com/apartments/austin-tx/lonestar-lofts/ChshVr/,"$1,100+ Studio",,,,
https://www.zillow.com/homedetails/309-E-34th-St-Austin-TX-78705/29398164_zpid/,"$3,400/mo",,5,2,"2,000"
https://www.zillow.com/b/1023-w-24th-st-austin-tx-5XjF2Z/,"$2,595+ 3 bds",,,,
https://www.zillow.com/b/605-elmwood-pl-austin-tx-5Zmpr6/,"$1,345+ 2 bds",,,,
https://www.zillow.com/homedetails/3307-Hampton-Rd-Austin-TX-78705/29397591_zpid/,"$3,385/mo",,4,2,"1,584"
https://www.zillow.com/homedetails/603-Bellevue-Pl-A-Austin-TX-78705/2085435697_zpid/,"$3,300/mo",,3,2,"1,230"
https://www.zillow.com/b/2809-rio-grande-st-austin-tx-5jCZgd/,"$3,000+ 3 bds",,,,
https://www.zillow.com/homedetails/2410-Leon-St-APT-203-Austin-TX-78705/2093897722_zpid/,"$3,250/mo",,4,3,"1,100"
"https://www.zillow.com/b/2307-longview-st-austin-tx/30.287252,-97.750336_ll/","$2,400+ 3 bds",,,,
https://www.zillow.com/homedetails/2510-San-Gabriel-St-403-Austin-TX-78705/448795138_zpid/,"$3,200/mo",,3,3,"1,200"
https://www.zillow.com/b/915-keith-lane-104-austin-tx-9LRZ9P/,"$3,150/mo",,4,2,"1,350"
https://www.zillow.com/homedetails/3208-Harris-Park-Ave-Austin-TX-78705/29398348_zpid/,"$3,000/mo",,2,1,"1,350"
https://www.zillow.com/homedetails/2908-Rio-Grande-St-Austin-TX-78705/29398130_zpid/,"$3,000/mo",,2,2,"1,202"
https://www.zillow.com/b/centennial-condo-austin-tx-CkCcG5/,"$1,900+ 2 bds",,,,
https://www.zillow.com/b/rio-flats-austin-tx-5ZmcRF/,"$2,300+ 2 bds",,,,
https://www.zillow.com/homedetails/2401-Leon-St-APT-300-Austin-TX-78705/29393776_zpid/,"$3,000/mo",,3,2,"1,250"
