url,price,address,bedrooms,bathrooms,living_area
https://www.zillow.com/homedetails/3208-Duval-St-APT-1-Austin-TX-78705/2121682884_zpid/,"$2,785/mo",,3,2,"1,140"
https://www.zillow.com/b/three-thousand-guadalupe-place-condominiums-austin-tx-5XmLJm/,"$1,085+ 1 bd",,,,
https://www.zillow.com/apartments/austin-tx/guadalupe-square/5XrYpq/,"$1,050+ 1 bd",,,,
https://www.zillow.com/homedetails/3316-Guadalupe-St-APT-312-Austin-TX-78705/29398982_zpid/,"$1,050/mo",,1,1,399
https://www.zillow.com/b/3115-helms-st-austin-tx-5XjfM2/,"$1,500+ 1 bd",,,,
https://www.zillow.com/homedetails/1910-Robbins-Pl-APT-208-Austin-TX-78705/29331901_zpid/,"$1,700/mo",,2,2,930
https://www.zillow.com/homedetails/1000-W-26th-St-APT-220-Austin-TX-78705/83125243_zpid/,"$1,300/mo",,1,1,445
"https://www.zillow.com/b/building/30.28859,-97.750984_ll/","$1,350+ 2 bds",,,,
https://www.zillow.com/b/102-w-38th-st-austin-tx-5YDLNH/,$995+ Studio,,,,
https://www.zillow.com/homedetails/3307-Hampton-Rd-Austin-TX-78705/29397591_zpid/,"$3,385/mo",,4,2,"1,584"
https://www.zillow.com/homedetails/2401-Leon-St-APT-310-Austin-TX-78705/29393786_zpid/,"$2,600/mo",,4,2,"1,543"
https://www.zillow.com/homedetails/3016-Guadalupe-St-APT-305-Austin-TX-78705/80091300_zpid/,"$2,900/mo",,2,2,"1,053"
https://www.zillow.com/homedetails/912-W-22nd-St-APT-305-Austin-TX-78705/62605518_zpid/,"$2,100/mo",,2,2,758
