url,price,address,bedrooms,bathrooms,living_area
https://www.zillow.com/b/the-jocey-building-2-austin-tx-BPCQsy/,"$1,050+ 1 bd",,,,
https://www.zillow.com/b/the-jocey-building-1-austin-tx-5Z62rG/,"$1,100+ 1 bd",,,,
https://www.zillow.com/homedetails/3006-Duval-St-APT-1-Austin-TX-78705/2090108720_zpid/,$895/mo,,Studio,1,300
https://www.zillow.com/homedetails/3006-Duval-St-APT-8-Austin-TX-78705/2078961191_zpid/,$925/mo,,Studio,1,300
https://www.zillow.com/homedetails/2907-Beanna-St-Austin-TX-78705/29395971_zpid/,"$2,395/mo",,2,2,"1,068"
https://www.zillow.com/homedetails/2802-Whitis-Ave-102-Austin-TX-78705/450219167_zpid/,"$1,395/mo",,Studio,1,259
https://www.zillow.com/homedetails/3115-Helms-St-APT-108-Austin-TX-78705/62605740_zpid/,"$2,195/mo",,3,2,815
https://www.zillow.com/homedetails/910A-Keith-Ln-Austin-TX-78705/450179323_zpid/,"$5,975/mo",,6,3,"3,075"
https://www.zillow.com/homedetails/2413-Leon-St-APT-101-Austin-TX-78705/29393737_zpid/,"$1,850/mo",,2,1,790
https://www.zillow.com/homedetails/2409-Leon-St-APT-301-Austin-TX-78705/29393806_zpid/,"$2,850/mo",,3,3,"1,387"
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-302-Austin-TX-78705/29331946_zpid/,"$1,450/mo",,2,1.5,816
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-303-Austin-TX-78705/29331947_zpid/,"$1,450/mo",,2,1.5,816
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-203-Austin-TX-78705/29331942_zpid/,"$1,450/mo",,2,1.5,816
https://www.zillow.com/homedetails/806-W-24th-St-APT-209-Austin-TX-78705/29394264_zpid/,"$1,450/mo",,2,1,715
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-202-Austin-TX-78705/29331941_zpid/,"$1,450/mo",,2,1.5,816
https://www.zillow.com/homedetails/2311-Nueces-St-APT-301-Austin-TX-78705/29394203_zpid/,"$1,650/mo",,1,1,626
https://www.zillow.com/homedetails/710-E-Dean-Keeton-St-APT-202-Austin-TX-78705/2071020688_zpid/,"$1,200/mo",,Studio,1,399
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-103-Austin-TX-78705/29331937_zpid/,"$1,450/mo",,2,1.5,816
